"L","T","m","EI","f.1","f.2","f.3","f.4","f.5","f.6","f.7","f.8","f.9","f.10"
10,0.5,6.19000396306364,9988.9966940333,4.9847,10.25349,16.05708,22.59544,30.01864,38.43792,47.94032,58.60338,70.50828,84.01652
10,1,6.19000396306364,9988.9966940333,6.81927,13.83766,21.24241,29.20043,37.85493,47.3273,57.72317,69.1415,81.68612,95.75254
10,1.5,6.19000396306364,9988.9966940333,8.23617,16.63368,25.34754,34.52148,44.2855,54.75657,66.04242,78.2485,91.48895,106.18151
10,2,6.19000396306364,9988.9966940333,9.43365,19.00623,28.85266,39.10055,49.86871,61.26769,73.40309,86.38162,100.32223,115.65854
10,2.5,6.19000396306364,9988.9966940333,10.49004,21.10381,31.96219,43.18098,54.8699,67.13345,80.07393,93.79738,108.42503,124.40281
10,3,6.19000396306364,9988.9966940333,11.44586,23.00428,34.78567,46.8967,59.43971,72.5138,86.2179,100.65659,115.95214,132.56072
10,3.5,6.19000396306364,9988.9966940333,12.32532,24.75454,37.38989,50.33073,63.67331,77.51201,91.94256,107.06783,123.01055,140.23575
15,0.5,6.19000396306364,9988.9966940333,3.20066,6.48465,9.93089,13.6107,17.58644,21.91214,26.63585,31.80319,37.45903,43.8179
15,1,6.19000396306364,9988.9966940333,4.43422,8.92659,13.53378,18.30979,23.30546,28.56886,34.14671,40.08684,46.44015,53.44444
15,1.5,6.19000396306364,9988.9966940333,5.38333,10.8138,16.33774,22.00015,27.84461,33.91384,40.25126,46.90328,53.92202,61.56062
15,2,6.19000396306364,9988.9966940333,6.18431,12.40924,18.7149,25.14063,31.72513,38.50722,45.52747,52.83066,60.46916,68.70838
15,2.5,6.19000396306364,9988.9966940333,6.89038,13.81696,20.81558,27.92162,35.17027,42.5974,50.24134,58.14544,66.36213,75.16759
15,3,6.19000396306364,9988.9966940333,7.52893,15.09081,22.71834,30.44392,38.30005,46.32034,54.5413,63.00515,71.76439,81.10498
15,3.5,6.19000396306364,9988.9966940333,8.11628,16.26298,24.47037,32.76852,41.18781,49.76001,58.52019,67.50963,76.78098,86.62934
20,0.5,6.19000396306364,9988.9966940333,2.35858,4.75195,7.21388,9.77634,12.46915,15.32018,18.35623,21.60429,25.09129,28.96032
20,1,6.19000396306364,9988.9966940333,3.28639,6.59707,9.956,13.38655,16.91162,20.55399,24.33724,28.28699,32.43135,36.93115
20,1.5,6.19000396306364,9988.9966940333,3.99937,8.01845,12.07676,16.1936,20.38822,24.68038,29.0914,33.64548,38.37083,43.44142
20,2,6.19000396306364,9988.9966940333,4.60079,9.21857,13.87023,18.57256,23.34255,28.19801,33.15871,38.24788,43.49389,49.08202
20,2.5,6.19000396306364,9988.9966940333,5.1308,10.27676,15.45295,20.67446,25.95668,31.31605,36.77124,42.34487,48.06556,54.12879
20,3,6.19000396306364,9988.9966940333,5.61006,11.23393,16.88535,22.57813,28.32648,34.14584,40.05406,46.07333,52.23265,58.7369
20,3.5,6.19000396306364,9988.9966940333,6.05084,12.11444,18.20351,24.33087,30.50983,36.755,43.08366,49.51769,56.08654,63.00389
25,0.5,6.19000396306364,9988.9966940333,1.86774,3.75314,5.67354,7.64574,9.68592,11.80989,14.0336,16.37393,18.84807,21.55971
25,1,6.19000396306364,9988.9966940333,2.61093,5.23422,7.88209,10.56666,13.30002,16.09465,18.96406,21.92366,24.99083,28.28447
25,1.5,6.19000396306364,9988.9966940333,3.18174,6.3735,9.58526,12.82696,16.10875,19.44137,22.83702,26.31028,29.87877,33.67337
25,2,6.19000396306364,9988.9966940333,3.66312,7.33488,11.02392,14.73889,18.48872,22.28313,26.13351,30.054,34.06261,38.3007
25,2.5,6.19000396306364,9988.9966940333,4.0873,8.18232,12.29276,16.42639,20.59133,24.79659,29.05303,33.37459,37.77974,42.41929
25,3,6.19000396306364,9988.9966940333,4.47083,8.9487,13.44063,17.95374,22.49553,27.07454,31.70123,36.38947,41.15824,46.16707
25,3.5,6.19000396306364,9988.9966940333,4.82356,9.65362,14.49668,19.35937,24.24872,29.17288,34.14206,39.17012,44.27656,49.62906
30,0.5,6.19000396306364,9988.9966940333,1.54615,3.10246,4.67896,6.28547,7.93169,9.62733,11.3826,13.20871,15.11735,17.18828
30,1,6.19000396306364,9988.9966940333,2.16591,4.33892,6.52611,8.73452,10.9713,13.24403,15.56127,17.9332,20.37166,22.97016
30,1.5,6.19000396306364,9988.9966940333,2.64176,5.2893,7.94837,10.62475,13.32444,16.054,18.82121,21.63586,24.51018,27.54876
30,2,6.19000396306364,9988.9966940333,3.04302,6.09103,9.14901,12.22198,15.31525,18.43479,21.58795,24.78437,28.03681,31.45951
30,2.5,6.19000396306364,9988.9966940333,3.39659,6.79762,10.20756,13.63093,17.07255,20.53801,24.03441,27.57137,31.16221,34.92984
30,3,6.19000396306364,9988.9966940333,3.71626,7.43657,11.165,14.90571,18.66317,22.44272,26.25127,30.09852,33.99833,38.0816
30,3.5,6.19000396306364,9988.9966940333,4.01024,8.02423,12.04573,16.07861,20.12711,24.19633,28.29312,32.42725,36.61313,40.98907
35,0.5,6.19000396306364,9988.9966940333,1.31911,2.64458,3.98272,5.33976,6.72192,8.13561,9.58777,11.08625,12.63947,14.31161
35,1,6.19000396306364,9988.9966940333,1.85054,3.70554,5.56944,7.44668,9.34186,11.25995,13.20679,15.18963,17.21715,19.36622
35,1.5,6.19000396306364,9988.9966940333,2.25851,4.52065,6.79003,9.07031,11.36533,13.67945,16.01806,18.38823,20.79917,23.33798
35,2,6.19000396306364,9988.9966940333,2.60251,5.20815,7.82005,10.4414,13.07561,15.7267,18.39979,21.102,23.84311,26.71907
35,2.5,6.19000396306364,9988.9966940333,2.9056,5.814,8.728,11.65046,14.58452,17.53395,20.50379,23.50121,26.53656,29.71377
35,3,6.19000396306364,9988.9966940333,3.17964,6.36182,9.54912,12.74415,15.94986,19.16988,22.40917,25.67502,28.97832,32.4303
35,3.5,6.19000396306364,9988.9966940333,3.43165,6.86565,10.30438,13.7503,17.20619,20.67557,24.16338,27.67705,31.22801,34.9342
40,0.5,6.19000396306364,9988.9966940333,1.15024,2.30472,3.46766,4.64326,5.83573,7.04953,8.28962,9.56179,10.8724,12.27485
40,1,6.19000396306364,9988.9966940333,1.61537,3.23371,4.85799,6.49121,8.13648,9.79728,11.47784,13.1836,14.92133,16.75622
40,1.5,6.19000396306364,9988.9966940333,1.97239,3.94721,5.92686,7.91382,9.91071,11.9206,13.94744,15.99667,18.07563,20.25898
40,2,6.19000396306364,9988.9966940333,2.27342,4.54894,6.82864,9.11468,11.40941,13.71567,16.03731,18.37984,20.75117,23.23417
40,2.5,6.19000396306364,9988.9966940333,2.53865,5.07918,7.62344,10.17339,12.7312,15.29957,17.88231,20.48505,23.11625,25.8661
40,3,6.19000396306364,9988.9966940333,2.77845,5.55861,8.34218,11.13095,13.92698,16.7329,19.55248,22.3915,25.25895,28.25169
40,3.5,6.19000396306364,9988.9966940333,2.99897,5.99952,9.00324,12.01179,15.02713,18.05184,21.08973,24.1467,27.23222,30.44935
45,0.5,6.19000396306364,9988.9966940333,1.01971,2.0424,3.07101,4.10849,5.15786,6.22233,7.3056,8.41212,9.54688,10.75552
45,1,6.19000396306364,9988.9966940333,1.43324,2.86856,4.30804,5.75379,7.20804,8.67333,10.15285,11.6509,13.17298,14.77569
45,1.5,6.19000396306364,9988.9966940333,1.75063,3.50295,5.25867,7.01951,8.78738,10.56454,12.35402,14.16019,15.98913,17.90625
45,2,6.19000396306364,9988.9966940333,2.01823,4.03792,6.06056,8.08765,10.12089,12.16244,14.21526,16.28382,18.37479,20.56117
45,2.5,6.19000396306364,9988.9966940333,2.254,4.50932,6.76726,9.0292,11.29673,13.57191,15.85771,18.15873,20.48216,22.90776
45,3,6.19000396306364,9988.9966940333,2.46717,4.93553,7.40629,9.88072,12.36033,14.84713,17.34411,19.85603,22.39053,25.03357
